,0,1,2,3,4,5,6,7,8,9,10,11
218,4,1,27,1,1,0,180,1440,167,68,-1,
219,5,1,27,1,1,1,180,1440,167,68,95.000000,  
220,2,1,28,0,0,0,767,1403,162,102,-1,
221,3,1,28,1,0,0,767,1403,162,70,-1,
222,4,1,28,1,1,0,767,1403,162,70,-1,
223,5,1,28,1,1,1,767,1403,83,34,95.672112,INJECTION
224,5,1,28,1,1,2,863,1403,66,70,78.596603,pA
225,3,1,28,2,0,0,772,1430,42,16,-1,
226,4,1,28,2,1,0,772,1430,42,16,-1,
227,5,1,28,2,1,1,772,1430,42,16,83.579643,QULL
228,3,1,28,3,0,0,772,1404,182,101,-1,
229,4,1,28,3,1,0,772,1449,88,21,-1,
230,5,1,28,3,1,1,772,1449,88,21,45.107113,(cl-11202)
231,4,1,28,3,2,0,879,1491,50,14,-1,
232,5,1,28,3,2,1,879,1491,4,9,24.376862,y
233,5,1,28,3,2,2,922,1493,7,12,86.408936,Q
234,2,1,29,0,0,0,859,1491,69,32,-1,
235,3,1,29,1,0,0,859,1491,69,32,-1,
236,4,1,29,1,1,0,859,1491,69,32,-1,
237,5,1,29,1,1,1,859,1491,69,32,0.000000,gah}
238,2,1,30,0,0,0,855,1513,450,126,-1,
239,3,1,30,1,0,0,855,1513,450,121,-1,
240,4,1,30,1,1,0,855,1513,450,119,-1,
241,5,1,30,1,1,1,855,1563,83,38,75.248619,INJECTION
242,5,1,30,1,1,2,960,1563,17,62,0.000000,s
243,5,1,30,1,1,3,960,1559,65,73,44.241062,eA
244,5,1,30,1,1,4,1127,1563,76,48,0.000000,uEETiON
245,5,1,30,1,1,5,1234,1513,71,119,15.593636,A
246,4,1,30,1,2,0,859,1593,357,46,-1,
247,5,1,30,1,2,1,859,1593,46,46,55.175026,et
248,5,1,30,1,2,2,905,1606,43,33,96.714470,1204)
249,5,1,30,1,2,3,1128,1610,88,21,0.000000,(G-11205)
250,2,1,31,0,0,0,180,1490,679,49,-1,
251,3,1,31,1,0,0,180,1490,679,49,-1,
252,4,1,31,1,1,0,180,1490,378,21,-1,
253,5,1,31,1,1,1,180,1490,378,21,95.000000,  
254,4,1,31,1,2,0,180,1511,679,28,-1,
